"","date","county","state","cases","deaths","Tweet_count"
"1","2020-09-01","autauga","alabama",1453,24,0
"2","2020-09-01","baldwin","alabama",4568,42,0
"3","2020-09-01","barbour","alabama",764,7,0
"4","2020-09-01","bibb","alabama",558,8,0
"5","2020-09-01","blount","alabama",1303,11,0
"6","2020-09-01","bullock","alabama",559,14,0
"7","2020-09-01","butler","alabama",871,37,0
"8","2020-09-01","calhoun","alabama",2619,38,0
"9","2020-09-01","chambers","alabama",1041,40,0
"10","2020-09-01","cherokee","alabama",417,12,0
"11","2020-09-01","chilton","alabama",1213,13,0
"12","2020-09-01","choctaw","alabama",326,12,0
"13","2020-09-01","clarke","alabama",995,14,0
"14","2020-09-01","clay","alabama",379,6,0
"15","2020-09-01","cleburne","alabama",211,5,0
"16","2020-09-01","coffee","alabama",1096,7,0
"17","2020-09-01","colbert","alabama",1472,22,0
"18","2020-09-01","conecuh","alabama",488,11,0
"19","2020-09-01","coosa","alabama",137,3,0
"20","2020-09-01","covington","alabama",1104,27,0
"21","2020-09-01","crenshaw","alabama",474,29,0
"22","2020-09-01","cullman","alabama",1664,15,1
"23","2020-09-01","dale","alabama",1110,38,0
"24","2020-09-01","dallas","alabama",1642,25,0
"25","2020-09-01","dekalb","alabama",2166,16,0
"26","2020-09-01","elmore","alabama",2230,45,0
"27","2020-09-01","escambia","alabama",1434,22,0
"28","2020-09-01","etowah","alabama",2834,40,0
"29","2020-09-01","fayette","alabama",323,6,0
"30","2020-09-01","franklin","alabama",1567,27,0
"31","2020-09-01","geneva","alabama",442,4,0
"32","2020-09-01","greene","alabama",285,15,0
"33","2020-09-01","hale","alabama",564,28,0
"34","2020-09-01","henry","alabama",383,4,0
"35","2020-09-01","houston","alabama",2088,19,0
"36","2020-09-01","jackson","alabama",1322,9,0
"37","2020-09-01","jefferson","alabama",16679,303,1
"38","2020-09-01","lamar","alabama",295,2,0
"39","2020-09-01","lauderdale","alabama",1456,25,0
"40","2020-09-01","lawrence","alabama",480,5,0
"41","2020-09-01","lee","alabama",4769,55,0
"42","2020-09-01","limestone","alabama",1712,16,0
"43","2020-09-01","lowndes","alabama",624,26,0
"44","2020-09-01","macon","alabama",440,19,0
"45","2020-09-01","madison","alabama",6570,60,1
"46","2020-09-01","marengo","alabama",651,18,0
"47","2020-09-01","marion","alabama",794,28,0
"48","2020-09-01","marshall","alabama",3639,42,0
"49","2020-09-01","mobile","alabama",12318,263,0
"50","2020-09-01","monroe","alabama",547,7,0
"51","2020-09-01","montgomery","alabama",8053,164,0
"52","2020-09-01","morgan","alabama",2934,24,0
"53","2020-09-01","perry","alabama",519,5,0
"54","2020-09-01","pickens","alabama",564,12,0
"55","2020-09-01","pike","alabama",985,8,0
"56","2020-09-01","randolph","alabama",523,12,0
"57","2020-09-01","russell","alabama",1637,2,0
"58","2020-09-01","shelby","alabama",4677,47,0
"59","2020-09-01","st.clair","alabama",1877,29,0
"60","2020-09-01","sumter","alabama",406,19,0
"61","2020-09-01","talladega","alabama",1787,21,0
"62","2020-09-01","tallapoosa","alabama",1063,82,0
"63","2020-09-01","tuscaloosa","alabama",5949,100,1
"64","2020-09-01","walker","alabama",1937,76,0
"65","2020-09-01","washington","alabama",523,13,0
"66","2020-09-01","wilcox","alabama",517,11,0
"67","2020-09-01","winston","alabama",589,11,0
"68","2020-09-01","aleutianseast borough","alaska",4,0,0
"69","2020-09-01","aleutianswest census area","alaska",92,0,0
"70","2020-09-01","anchorage","alaska",3156,23,0
"71","2020-09-01","bethelcensus area","alaska",64,1,0
"72","2020-09-01","bristolbay plus lake and peninsula","alaska",76,0,0
"73","2020-09-01","denaliborough","alaska",5,0,0
"74","2020-09-01","dillinghamcensus area","alaska",26,0,0
"75","2020-09-01","fairbanksnorth star borough","alaska",689,8,0
"76","2020-09-01","hainesborough","alaska",10,0,0
"77","2020-09-01","juneau and borough","alaska",260,0,0
"78","2020-09-01","kenaipeninsula borough","alaska",569,1,0
"79","2020-09-01","ketchikangateway borough","alaska",63,0,0
"80","2020-09-01","kodiakisland borough","alaska",58,0,0
"81","2020-09-01","kusilvakcensus area","alaska",8,0,0
"82","2020-09-01","matanuskasusitnaborough","alaska",486,2,0
"83","2020-09-01","nomecensus area","alaska",45,0,0
