text,location_str,latitude,longitude,sentiment,sentiment_strength,confidence,neg_score,neu_score,pos_score,analysis_timestamp
"Had #COVID19 once? Get vaccinated, says new data … #freeaccess in InSight+ … ""It doesn’t set out to show that vaccine immunity is better than your natural immunity, but indirectly, it implies that"" … https://t.co/3fYwOhZ5sp #medtwitter https://t.co/pGZ9Ckjoos",Sydney Australia,-33.8698439,151.2082848,Neutral,0.1454,0.7686,0.043,0.7686,0.1884,2025-12-05 13:26:52
NEW: Manitoba is reporting the first case of the B.1.1.529 (omicron) #COVID19 variant. The individual recently travelled from one of the 14 federally advised countries and has experienced mild symptoms.,"Winnipeg, Manitoba, Canada",49.8955367,-97.1384584,Neutral,-0.4112,0.5577,0.4268,0.5577,0.0156,2025-12-05 13:26:52
"Prebentzio-neurri espezifikoak #COVID19-aren aurrean. Erantzunak ohiko galderei: https://t.co/bvspNmIl91.

Medidas específicas de prevención ante el coronavirus. Respuestas a preguntas frecuentes: https://t.co/NJ6cvYPECq. https://t.co/6Dotu5i3JR","Vitoria-Gasteiz, España",42.8465088,-2.6724025,Neutral,-0.1934,0.7374,0.228,0.7374,0.0346,2025-12-05 13:26:52
Leeds pub bookings suffer amid change in #Covid19 rules https://t.co/kBLfwIcpOO,Yorkshire,53.9825271,-1.38525,Negative,-0.7209,0.7319,0.7319,0.2572,0.011,2025-12-05 13:26:52
"https://t.co/53NuMfC2jm
To jest hit

""Obserwujemy zmianę statystyk zachorowań i hospitalizacji na #COVID19 wśród dzieci i młodzieży. Od początku pandemii mieliśmy 17 877 dzieci hospitalizowanych, a w okresie 2-tygodniowym jest ok. 450 przypadków.""
1/2","Warszawa, Polska",52.2333742,21.0711489,Neutral,-0.0085,0.8367,0.0859,0.8367,0.0774,2025-12-05 13:26:52
"#Internacional | En Europa inician la vacunación frente al #Covid19 de niños de entre cinco y once años de edad, en un esfuerzo de capear el resurgimiento de la pandemia y mantener las escuelas abiertas ante la expansión de la variante Ómicron.

Vía: @AFPespanol https://t.co/C5yAaqtwZh",El Salvador,13.8000382,-88.9140683,Neutral,-0.0263,0.8845,0.0709,0.8845,0.0446,2025-12-05 13:26:52
"PCR aparat, vrijedan 174 hiljade EUR, pomoću kojeg se vrši testiranje koronavirusa, donirala je Vlada Sjedinjenih Američkih Država.
🇲🇪🤝🇺🇸
#COVID19 https://t.co/xQQOzh8pJ8",Rimski trg br. 46,42.4423944,19.2464902,Neutral,0.1278,0.7713,0.0504,0.7713,0.1782,2025-12-05 13:26:52
"The only way out of the #COVID19 pandemic is to make sure there are vaccines for everyone, everywhere. That's why I'm donating to #GoGiveOne. Join me and #GoGiveOne today. https://t.co/S5vmKgQ96R",Footscray,-37.7981339,144.897345,Positive,0.7258,0.7454,0.0196,0.235,0.7454,2025-12-05 13:26:52
"If you’re looking for LGBTQ2S+ mental health supports and resources, 
@LGBTYouthLine
 has a list of helpful links on their website:

https://t.co/bQzZIOE3TJ

#COVID19 
#MentalHealth","Maple, ON",43.8594952,-79.5068973,Positive,0.7292,0.7352,0.006,0.2588,0.7352,2025-12-05 13:26:52
"AIIMS warns on rising cases of Omicron, says ‘be prepared for any eventuality https://t.co/DQhUwYPCLy via @Newsstore24 

#Newsstore24 #News #Omicron #COVID19 #coronavirus",India,22.3511148,78.6677428,Neutral,-0.1445,0.7772,0.1837,0.7772,0.0392,2025-12-05 13:26:52
"https://t.co/874jajbYsJ

Boletim epidemiológico foi divulgado nesta quarta-feira (3) com dados acumulados de cinco dias.

#Covid19 #Saúde #Pandemia #Adamantina #SigaMais","Adamantina, SP, Brasil",-21.6866517,-51.0762975,Neutral,-0.0612,0.8803,0.0904,0.8803,0.0292,2025-12-05 13:26:52
"Pressekonferenz über die Landwirtschaft...
@ElliKoestinger #stelzer #haslauer @sebastiankurz @a_schallenberg 
spucken den Toten und deren Angehörigen ins Gesicht.
#COVID19

We are fucked.... https://t.co/uOz8bmdr49",Österreich,47.59397,14.12456,Negative,-0.7159,0.7374,0.7374,0.2411,0.0215,2025-12-05 13:26:52
"En intervención Canciller #Cuba @BrunoRguezP en 3ra Reunión Ministerial Foro #CELAC-#China reitera invariable respaldo y hermandad a la única e indivisible #China y reconoce su aporte a la región latinoamericana y caribeña en enfrentamiento a la #COVID19 

@CubaMINREX 
@PPT_CELAC https://t.co/UfLps7AyeV",Cuba,23.0131338,-80.8328748,Neutral,0.0077,0.8791,0.0566,0.8791,0.0643,2025-12-05 13:26:52
"Decisão foi tomada após registro de nova variante do Sars-CoV-2.

Para mais informações, acesse: https://t.co/M9YeUa4NDE

#cn7saude #Anvisa #restricoes #voo #pandemia #COVID19 #covidvariant",Fortaleza,-3.7304512,-38.5217989,Neutral,-0.0503,0.8835,0.0834,0.8835,0.0331,2025-12-05 13:26:52
